19.393000,19.606001,17.797001,18.441999,18.011000,15.320000,15.408000,14.932000,14.494000,14.923000
12.168000,12.725000,12.073000,12.021000,12.084000,16.680000,15.788000,16.856001,17.073000,16.691999
16.201000,17.195999,19.608000,17.306999,13.776000,14.855000,14.717000,14.955000,14.888000,14.612000
11.560000,11.763000,11.430000,11.575000,11.978000,15.925000,16.263000,15.782000,15.530000,15.981000
11.895000,13.139000,11.998000,12.097000,11.909000,16.961000,16.726999,16.100000,16.177999,16.468000
11.815000,11.590000,11.603000,11.674000,11.758000,15.712000,15.443000,15.981000,16.025000,15.462000
13.319000,15.203000,13.961000,13.267000,12.393000,18.301001,16.627001,16.493000,16.650999,19.540000
15.527000,14.618000,13.044000,15.397000,13.612000,14.842000,15.522000,15.890000,15.222000,15.736000
11.337000,11.283000,11.236000,11.301000,11.216000,15.132000,15.183000,15.322000,15.166000,15.502000
11.202000,11.208000,11.264000,11.265000,11.323000,14.831000,14.923000,14.700000,14.808000,14.831000
11.093000,12.240000,10.954000,11.109000,11.079000,14.208000,14.496000,14.737000,14.623000,14.431000
11.827000,12.053000,11.799000,11.974000,12.002000,15.532000,15.480000,15.447000,15.584000,14.930000
11.790000,12.704000,11.830000,11.656000,11.645000,15.565000,15.854000,15.712000,16.070999,15.528000
15.318000,16.347000,14.798000,14.823000,15.264000,17.193001,16.282000,18.378000,17.016001,16.999001
12.174000,12.818000,12.204000,12.150000,12.185000,16.202000,16.138000,16.455000,16.514999,16.334000
11.844000,13.614000,12.469000,11.786000,11.640000,15.204000,15.556000,15.355000,15.439000,15.593000
12.798000,17.528000,12.399000,12.376000,12.881000,16.702000,17.782000,17.139999,17.243000,16.542999
11.846000,12.759000,11.573000,11.184000,11.151000,14.384000,14.655000,14.525000,14.526000,14.988000
11.814000,12.430000,11.692000,11.815000,11.822000,15.385000,15.423000,15.380000,15.291000,15.370000
13.362000,15.465000,13.927000,15.282000,14.395000,18.530001,17.971001,17.992001,19.216000,18.165001
11.487000,11.535000,11.469000,11.691000,11.440000,14.876000,14.984000,14.724000,14.923000,14.940000
11.260000,10.821000,10.928000,11.143000,11.043000,14.879000,15.095000,15.152000,14.916000,14.666000
12.547000,13.484000,12.904000,12.618000,12.247000,15.289000,15.975000,15.767000,15.228000,15.072000
12.966000,12.481000,12.183000,11.834000,11.870000,15.175000,15.288000,15.201000,14.826000,15.345000
14.373000,14.949000,14.135000,12.653000,12.928000,17.101000,17.259001,17.441999,17.431999,16.544001
12.831000,13.064000,12.201000,12.221000,12.225000,15.439000,15.704000,15.633000,15.674000,15.644000
12.304000,12.659000,12.306000,11.965000,11.856000,15.710000,16.667999,15.635000,15.960000,15.572000
11.981000,11.941000,12.019000,11.892000,12.072000,15.517000,15.983000,15.530000,15.490000,15.439000
10.848000,11.819000,10.829000,10.709000,10.869000,14.397000,14.821000,14.432000,14.343000,14.420000
13.562000,13.398000,13.765000,12.831000,12.996000,16.566000,16.715000,16.823999,16.285000,16.606001
